page	status	article	images	note	date
03_Physical-Quantities/Young-Modulus.md	added	Young's modulus	_attachments/03_Physical-Quantities/Young-Modulus--wiki-stress-strain-ductile.svg,_attachments/03_Physical-Quantities/Young-Modulus--wiki-spidergraph-youngmod.gif,_attachments/03_Physical-Quantities/Young-Modulus--wiki-stress-strain-ductile.svg		2026-05-20
04_Concepts/Absolute-Zero.md	added	Absolute zero	_attachments/04_Concepts/Absolute-Zero--wiki-celsiuskelvin.svg,_attachments/04_Concepts/Absolute-Zero--wiki-boomerang-nebula.jpg,_attachments/04_Concepts/Absolute-Zero--wiki-bose-einstein-condensate.png		2026-05-20
04_Concepts/Antiparticles.md	added	Antiparticle	_attachments/04_Concepts/Antiparticles--wiki-particles-and-antiparticles.svg,_attachments/04_Concepts/Antiparticles--wiki-electronpositronannihilation.svg,_attachments/04_Concepts/Antiparticles--wiki-particles-and-antiparticles.svg		2026-05-20
04_Concepts/Astronomical-Distances.md	added	Astronomical unit	_attachments/04_Concepts/Astronomical-Distances--wiki-astronomical-unit-svg.svg,_attachments/04_Concepts/Astronomical-Distances--wiki-astronomical-unit-svg.svg,_attachments/04_Concepts/Astronomical-Distances--wiki-crab-nebula.jpg		2026-05-20
04_Concepts/Big-Bang-Theory.md	added	Big Bang	_attachments/04_Concepts/Big-Bang-Theory--wiki-cmb-timeline300-no-wmap.jpg,_attachments/04_Concepts/Big-Bang-Theory--wiki-2mass-lss-chart-new-nasa.jpg,_attachments/04_Concepts/Big-Bang-Theory--wiki-cmb-timeline300-no-wmap.jpg		2026-05-20
04_Concepts/Capacitor.md	added	Capacitor	_attachments/04_Concepts/Capacitor--wiki-capacitors-7189597135.jpg,_attachments/04_Concepts/Capacitor--wiki-24-million-watt-high-speed-flash-through.jpg,_attachments/04_Concepts/Capacitor--wiki-axial-electrolytic-capacitors.jpg		2026-05-20
04_Concepts/Capacitors-in-Series-and-Parallel.md	added	Series and parallel circuits	_attachments/04_Concepts/Capacitors-in-Series-and-Parallel--wiki-capacitors-in-parallel.svg,_attachments/04_Concepts/Capacitors-in-Series-and-Parallel--wiki-capacitors-in-series.svg,_attachments/04_Concepts/Capacitors-in-Series-and-Parallel--wiki-inductors-in-series.svg		2026-05-20
04_Concepts/Centre-of-Mass.md	added	Center of mass	_attachments/04_Concepts/Centre-of-Mass--wiki-bird-toy-showing-center-of-gravity.jpg,_attachments/04_Concepts/Centre-of-Mass--wiki-bird-toy-showing-center-of-gravity.jpg,_attachments/04_Concepts/Centre-of-Mass--wiki-center-gravity-2.svg		2026-05-20
04_Concepts/Centripetal-Force.md	added	Centripetal force	_attachments/04_Concepts/Centripetal-Force--wiki-force-acting-as-centripetal-force.svg,_attachments/04_Concepts/Centripetal-Force--wiki-acceleration-vector-plane-polar-coords.svg,_attachments/04_Concepts/Centripetal-Force--wiki-banked-turn.svg		2026-05-20
04_Concepts/Circular-Motion.md	added	Circular motion	_attachments/04_Concepts/Circular-Motion--wiki-breaking-string.png,_attachments/04_Concepts/Circular-Motion--wiki-circular-motion-vectors.svg,_attachments/04_Concepts/Circular-Motion--wiki-nonuniform-circular-motion.svg		2026-05-20
04_Concepts/Comparing-Gravitational-and-Electric-Fields.md	added	Gravitational potential	_attachments/04_Concepts/Comparing-Gravitational-and-Electric-Fields--wiki-crab-nebula.jpg,_attachments/04_Concepts/Comparing-Gravitational-and-Electric-Fields--wiki-earth-moon.jpg,_attachments/04_Concepts/Comparing-Gravitational-and-Electric-Fields--wiki-mass-distribution-line-segment.svg		2026-05-20
04_Concepts/Damping.md	added	Damping	_attachments/04_Concepts/Damping--wiki-2nd-order-damping-ratios.svg,_attachments/04_Concepts/Damping--wiki-dampedcosine.svg,_attachments/04_Concepts/Damping--wiki-dampingratio111.svg		2026-05-20
04_Concepts/Diffraction-Grating.md	added	Grating	_attachments/04_Concepts/Diffraction-Grating--wiki-metro-ventilation-grid-alameda-afonso-he.jpg,_attachments/04_Concepts/Diffraction-Grating--wiki-grating-at-the-historic-john-street-roun.jpg,_attachments/04_Concepts/Diffraction-Grating--wiki-metro-ventilation-grid-alameda-afonso-he.jpg		2026-05-20
04_Concepts/Diffraction.md	added	Diffraction	_attachments/04_Concepts/Diffraction--wiki-laser-interference.jpg,_attachments/04_Concepts/Diffraction--wiki-airy-pattern.svg,_attachments/04_Concepts/Diffraction--wiki-blue-laser-single-slit-diffraction-photo.jpg		2026-05-20
04_Concepts/Doppler-Effect.md	added	Doppler effect	_attachments/04_Concepts/Doppler-Effect--wiki-carotiddoppler1.jpg,_attachments/04_Concepts/Doppler-Effect--wiki-crab-nebula.jpg,_attachments/04_Concepts/Doppler-Effect--wiki-dopplersatscheme.png		2026-05-20
04_Concepts/Drag.md	added	Drag (physics)	_attachments/04_Concepts/Drag--wiki-airfoil-lift-and-drag.svg,_attachments/04_Concepts/Drag--wiki-aerospatial-concorde-6018513515.jpg,_attachments/04_Concepts/Drag--wiki-airfoil-lift-and-drag.svg		2026-05-20
04_Concepts/Elastic-and-Inelastic-Collisions.md	added	Elastic collision	_attachments/04_Concepts/Elastic-and-Inelastic-Collisions--wiki-translational-motion.gif,_attachments/04_Concepts/Elastic-and-Inelastic-Collisions--wiki-elastischer-sto-2d.gif,_attachments/04_Concepts/Elastic-and-Inelastic-Collisions--wiki-translational-motion.gif		2026-05-20
